Roll No,Name,Chemistry,Physics,Math
101,Ayesha,75,36,78
102,Ali,84,42,88
103,Imran,36,87,72
104,Zara,40,84,49
105,Rehan,85,41,98
106,Nida,68,93,76
107,Bilal,75,39,62
108,Farah,56,40,71
109,Asad,90,89,89
110,Sana,59,72,55
111,Umer,56,82,99
112,Iqra,54,81,44
113,Shahid,81,40,49
114,Rubina,51,45,72
115,Salman,68,35,96
116,Hina,40,68,95
117,Noman,48,35,50
118,Kiran,76,69,62
119,Adnan,91,81,93
120,Bushra,83,81,36
121,Daniel,67,71,70
122,Haroon,100,45,82
123,Anila,57,37,36
124,Raza,96,53,66
125,Parveen,92,47,60
126,Suleman,55,67,91
127,Nargis,91,82,71
128,Sameer,90,51,43
129,Rani,61,98,34
130,Babar,41,34,80
131,Nashit,92,92,53
132,Mehwish,41,85,40
133,Tariq,70,58,78
134,Lubna,93,66,39
135,Faisal,38,73,37
136,Nosheen,52,70,69
137,Yasir,70,58,59
138,Sabeen,80,34,87
139,Amjad,80,58,91
140,Komal,92,90,90
141,Kashif,97,36,37
142,Rukhsana,62,35,58
143,Junaid,47,83,51
144,Naheed,53,71,57
145,Adeel,89,55,66
146,Fozia,69,37,65
147,Azhar,86,46,35
148,Shazia,65,93,33
149,Waqas,50,77,34
150,Zeenat,80,67,37
151,Ayesha0,84,81,34
152,Ali1,82,91,49
153,Imran2,59,50,92
154,Zara3,57,82,56
155,Rehan4,63,62,98
156,Nida5,73,51,78
157,Bilal6,88,56,70
158,Farah7,59,33,51
159,Asad8,99,98,82
160,Sana9,84,37,37
161,Umer10,56,43,99
162,Iqra11,75,66,37
163,Shahid12,74,55,56
164,Rubina13,98,50,49
165,Salman14,68,64,61
166,Hina15,89,63,82
167,Noman16,34,72,83
168,Kiran17,97,51,40
169,Adnan18,72,41,71
170,Bushra19,96,67,46
171,Daniel20,35,40,77
172,Haroon21,92,85,91
173,Anila22,38,97,86
174,Raza23,42,41,89
175,Parveen24,47,97,61
176,Suleman25,36,50,77
177,Nargis26,99,63,55
178,Sameer27,99,43,73
179,Rani28,45,69,90
180,Babar29,86,80,33
181,Nashit30,98,72,68
182,Mehwish31,37,80,45
183,Tariq32,98,85,100
184,Lubna33,42,64,56
185,Faisal34,85,43,87
186,Nosheen35,57,79,86
187,Yasir36,86,74,50
188,Sabeen37,66,44,80
189,Amjad38,75,47,84
190,Komal39,89,54,33
191,Kashif40,40,37,63
192,Rukhsana41,46,41,93
193,Junaid42,76,83,68
194,Naheed43,60,60,68
195,Adeel44,89,48,40
196,Fozia45,70,70,88
197,Azhar46,97,33,63
198,Shazia47,88,68,37
199,Waqas48,51,62,39
200,Zeenat49,41,42,90
201,Ayesha0,88,80,89
202,Ali1,71,43,80
203,Imran2,97,86,81
204,Zara3,71,75,54
205,Rehan4,36,90,60
206,Nida5,81,35,64
207,Bilal6,80,56,84
208,Farah7,82,89,76
209,Asad8,54,87,49
210,Sana9,99,90,78
211,Umer10,94,42,87
212,Iqra11,42,83,33
213,Shahid12,49,78,77
214,Rubina13,55,83,35
215,Salman14,77,83,54
216,Hina15,43,37,83
217,Noman16,74,61,33
218,Kiran17,99,57,44
219,Adnan18,89,100,77
220,Bushra19,76,41,61
